8562b3a989358ef,cam 1
999d4199ff4542d,Any
69b18c6d2d9c95b,None
f63fc4c860222ec,A
8cb4c07b56d16c4,wz
85e5e2f1eb8768f,slayer
7289df276bb87d6,mp_cartel
9e82e6a2962dd60,sessionmode_mp
44bb153ba37bd29,mp_moscow
9202cb1d2f5336b,control_cwl
e57f0aaf47dff28,fireteam_tdm
9d4406a295252ec,sessionmode_wz
a7742cf4777d170,wz_russia
22bbd5d6393a742,SCRIPTBUNDLE
271f7f545e9a180,datasourcelist
fdf5d27183005f,challenges_tabs_campaign
4596f359c92edc9,challenges_tabs_daily_challenges
6e7dbfa41121488,battle_hardened_tabs_mp
b9ff2b38dae3808,career_tabs_mp
8b36cbf4cb2f87,challenges_tabs_multiplayer
b54f4b38d6e4ff4,career_tabs_wz
7db2dfed5988958,operations_tabs_wz
b9728c6e3cf1b26,challenges_tabs_mw_warzone
20b507cdd0bec97,challenges_tabs_weapon_mastery
4bf3126dc9944d0,challenges_battle_hardened_zm
dd496d9db2827be,challenges_career_zm
7cf27934eb3e061,challenges_dark_ops_zm
40d4a2412b35148,challenges_tabs_zombies
80dea5472a3993,challenges_top_level_categories
30c3df827e6d554,colorblind_colors
5b4a659e5184609,0.921569 0.364752 0.215686 1
9a8ab434f766c89,0.654902 0 0.835294 1.0
802e1679d52f2e5,0.635294 0.447059 0.494118 1.0
da97765a0e1126f,0.52549 0.235294 0.380392 1.0
ae2e90c1bce27a,cyan
ccc50cbc16e0f,0.980392 0.305882 0.0117647 1.0
1d89c597858494e,0.831373 0.160784 1 1.0
a43fcf913a9b278,0.8 0.584314 0.556863 1.0
95093e5d10ae21f,0.819608 0.419608 0.513725 1.0
6dd3abcdd8405eb,orange
98152bc6a362a92,0.984314 0.505882 0.294118 1.0
fa9d2a93e3d279,0.831373 0.392157 1 1.0
25130205d4d56dd,0.831373 0.686275 0.568627 1.0
d5d5f835b4bb2d5,0.890196 0.592157 0.545098 1.0
3a8462494a401f5,pale orange
1a3022d9da7b595,1 0.764706 0 1.0
feec04c2c7baa5a,1 0.815686 1 1.0
93bb1855cb6243c,1 0.92549 0.470588 1.0
971cc268641132c,0.945098 0.901961 0.635294 1.0
ea3d9e00658b47b,dark yellow
3f57a2ed7bbf7d2,0.980392 0.823529 0 1
787f05b79f1a392,1 1 0 1.0
85c489b99fed03,0.992157 0.992157 0.239216 1.0
346a574925e75a9,yellow
c46ec03d8de8c9a,0.14902 0.929397 0.980392 1
e10182173692fce,0 0.705882 0 1.0
f0bbdd168af606f,0.713725 0.803922 0.054902 1.0
aa62b4451ef2e74,0.768627 0.905882 0.0941176 1.0
2649f057a9f3814,light green
d9d4fbf90641048,0.0901961 0.54902 0.160784 1.0
33b3d53e72a4711,0 1 0 1.0
8362affd982c3ee,0 0.486275 0 1.0
764f4ed8c3e5f3a,0 0.6 0.164706 1.0
8946d834057184e,0 1 0.858824 1.0
42b51825ba5e86c,0.0941176 0.45098 0 1.0
b5e5163e44ab37,0 0.721569 0.647059 1.0
5b00955a2c5d6cd,0.0156863 0.937255 0.745098 1.0
271bb33cc640cd7,0.509804 0.815686 0.831373 1.0
b71854b23309640,0.419608 0.8 0.819608 1.0
a0d475655531676,gray blue
2d50f2277360ac5,0.0470588 0.729412 0.811765 1.0
4de35fb0285bc48,0 0.894118 1 1.0
1acad574afb8a51,0.0470588 0.568627 0.635294 1.0
40b374b54032db5,light blue
5852a1ade44cc2,0.14902 0.607797 0.960784 1
807b81c6f3c159e,0.105882 0.45098 0.886275 1.0
7961a86d9d03a33,0.14902 0.490196 0.741176 1.0
8b75c1d39220bf8,0.105882 0.6 0.768627 1.0
f30ec0dc5331c0d,pink
57aaa0b983b1bbb,0.490196 0 0.921569 1.0
d3edf06f5bf5342,0.576471 0.129412 1 1.0
b270a0912e0fb02,0.360784 0.227451 0.482353 1.0
ef1069de957c919,0.341176 0.109804 0.435294 1.0
d8e0fe9bdf5fc5f,purple
8105c51eefdaf29,0.72549 0 0.803922 1.0
506cda43f1f888b,0.72549 0.545098 0.890196 1.0
552b6edf5bc51d1,0.556863 0.529412 1 1.0
fc9772bbf3189cb,0.309804 0.25098 1 1.0
6658d6bf7453ce7,light purple
476bda59da4079e,0.94902 0.356863 0.937255 1.0
89940a0384f048a,1 0 1 1.0
12c424cda164e76,0.858824 0.509804 0.858824 1.0
c48136a26c3db03,1 0.482353 1 1.0
66f25af6187eaab,0.870588 0.603922 0.839216 1.0
be11b316814c8f3,1 0.666667 1 1.0
d6b11bfbfc288a4,1 0.909804 1 1.0
77309ae5f27af38,1 0.776471 1 1.0
9207fb1f2cee695,light pink
311c438f36f283e,detailed_weapon_attributes
6f596bbe86607a6,didyouknowentry
985755261ee6820,tips_multiplayer_ball
127a447726a3822,tips_multiplayer_bounty
7622f4b5a0b5f1b,tips_multiplayer_conf
bf378f61193d6ca,tips_multiplayer_control
bd03bbac94645c7,tips_multiplayer_dom
46de2f756ce73f4,tips_multiplayer_dom_bb
3486abb4fbc3ef9,tips_multiplayer_escort
92e51dfa7e9a218,tips_multiplayer_fireteam_dirty_bomb
2d447baccc830b1,tips_multiplayer_gun
c1e498dbccadf27,tips_multiplayer_koth
9be7436fc72d3f4,tips_multiplayer_league
25232adb4f3bf7c,tips_multiplayer_public
65abcbfb1bf88f6,tips_multiplayer_sd
daf88717febb340,tips_multiplayer_shared
eea85d4e03bd4d1,tips_multiplayer_tdm_bb
72c08bb211cb7cc,tips_multiplayer_vip
3f9199d7528e7e3,tips_multiplayer_war12v12
d9a5794ec705ac9,tips_pc_gamepad
4a4ecd6d88fabb1,tips_warzone_ambush
f7564da3b225e64,tips_warzone_groundwar
b95b2a48ff24ada,tips_warzone_hotpursuit
52486c5f2be4b3d,tips_warzone_redeploymodes
21d5925c6404814,tips_warzone_shared
9c4c3b08cc78271,tips_warzone_spectrerising
a2a5dab61e2bba0,tips_zombies_classic
79281c8b215f81d,tips_zombies_infect
8fa87e60bbbc569,tips_zombies_onslaught
7e6aa6b8098b73d,tips_zombies_shared
9ecf7b35d1cfd56,tips_zombies_survival
35d4e2fb34f1bde,didyouknow
dba8e768adec66,language_restart_options
b805a84582bcbad,lsl_class_sets
fd9eabbdb204d4d,lsl_loadout_slots
660fdc4273b0c19,herogadget
b66f55d32c9ce22,killStreak1
f31137ff783e939,primary
64be52a1bde5211,primarygrenade
7fbc18fbdaa00d1,secondary
340308f6832282f,specialty
5fb380cea24a88b,talent
d2a0ef952b36aea,talent.1
d2a0df952b36937,talent.2
d2a0cf952b36784,talent.3
c76c1e0d1ee45f7,tacticalgear
84b95474a4f22da,bonuscard
ffa13a9fd712ba2,lsl_reticle_acog
b96884db4c63a67,lsl_reticle_dualoptic
f783ad13d6ee4d6,lsl_reticle_elo
1bc4fe5c4bf4ac8,lsl_reticle_holo
8cf91023f3f96cf,lsl_reticle_ir
48a66d1647df0a3,lsl_reticle_mms
e7b42240847fa2,lsl_reticle_reflex
336328281f5061d,mp_game_type_options
a3620af2fbce320,time_limit
18b5ed4cbeaa08f,round_limit
a86870aa087db82,round_win_limit
13defc7d4020e53,time_limit_dom
a2ad19cea72c636,round_score_limit
20c0bc746e7d5c6,team_score_per_kill
1dc898ef4b0cb40,team_score_per_death
8e12415f85c001c,team_score_per_headshot
d8dd0f7fd974c1a,killstreaks_give_game_score
91d97e1086cec51,points_for_survival_bonus
f549f84ae2752a0,score_limit_sd_dem
a64e44fdd0236a8,round_win_limit_control
a634a7fcfa0aa6d,setbacks
7861cf034bea436,score_limit_ctf_round
1bca2cf3c7fa2aa,round_win_limit_ctf
c137a7d8fd9f21,enemy_carrier_visible
e8098421cdc13c6,idle_flag_reset_time
bfb90f24327ff18,flag_capture_condition
26f49b70a722e57,capture_time_ctf
ab81dde68c2d67f,touch_return
375913a73401ded,score_limit
aa1ffe4820d197b,bomb_timer
1c8c223351693a6,plant_time
c6be9d4f6099bc1,defuse_time
a58222dd2f2672f,multi_bomb
7d52dbdc8d42cd8,round_switch
1a3bbba2067d6ee,silent_plant
10d804ddcf675d2,carrier_drop_bomb
9c983a85b236414,team_score_per_kill_confirmed
473d9da1d46c068,team_score_per_kill_denied
84308e5d969005b,capture_time
9cae3b1019e9a29,decay_progress
40aeb8bddb63f2b,auto_decay
f28a39c1858bac6,flag_capture_rate_increase
6a193d6920835d7,round_win_limit_escort
a3874f286d1a325,auto_destroy_time
cdbcfc488062442,capture_time_koth
412a5f18cd05324,objective_spawn_time
9c916f78b9ea950,random_objective_locations_koth
1344308389c156f,score_per_player
d1e47e73339f91e,time_pauses_when_in_zone
f75005bbc5164af,carrier_armor
41f7549055424ad,carry_score
68da1e2006ccf82,throw_score
8d526e72e303c3e,idle_flag_reset_time_ball
513dbf66b669218,ball_count
c5295909abd6869,extra_time_control
5f6f40a53b808aa,cap_decay
e36921274283474,competitive_team_lives
5145dbf32448a85,cumulative_round_scores
5b23a08d8f0c171,carrier_move_speed
731ea71ad4e4a47,pickup_time
84b92ae4c145e17,deposit_time
b9645f78e0148af,objective_health
9284d4d13adde85,starting_cash
4b690f316073c2,bag_money
2e94454bf25eb0c,extraction_time
31f9e2948b784b,extraction_extra_time
a808a4c9ab2e066,bag_carrier_move_speed
9fcd929e9adc3cf,bleedout_time
b8d32ca2aeb56fd,shutdown_damage
85b3b571eb7a397,boot_time
e07fb9564b40044,reboot_time
